feature,mean,std
epithelial,-0.0741568126131884,0.0632347847830013
mesenchymal,0.0744426985908467,0.07882456649541593
tgfb_pathway,0.023714781746031744,0.08728625839026326
wnt_pathway,,
proliferation,,
cytotoxic_t,,
immune_suppression,0.16115308641975307,0.17842396725963916
hypoxia,,
emt_index,0.14859951120403517,0.1315415603117037
immune_balance,,
invasion_potential,0.08615714647503343,0.10139253440907593
ews_var_epithelial,4.220919213151393,1.1782167921545759
ews_var_mesenchymal,5.9855861575760425,1.207104766053076
ews_skew_emt,0.1519641920054778,0.24989286836923166
ews_kurt_emt,-0.5944641999526803,0.35161987533677874
ews_cv_mesenchymal,0.3085149454948781,0.04020247114496461
ews_em_ratio,1.223402861622549,0.1977942231060962
ews_composite,0.15701019217429926,0.5068726543537209
stage_order,1.6177777777777778,1.0957065480803574
ajcc_t_encoded,1.4755555555555555,1.1177667328811511
ajcc_n_encoded,1.04,0.7821338333899981
gender_encoded,0.49333333333333335,0.4999555535800714
vital_status_encoded,0.3511111111111111,0.47731760785187055
age_at_index,64.76222222222222,10.769045947403324
days_to_last_fu,1097.871111111111,1079.276626598106
